fao_name,common_names,fda_name,taxocode,code_3a,order,family,genus,specific_descriptor
Caramote prawn,,,2280100117,TGS,Natantia,Penaeidae,penaeus,kerathurus
Carangid moonfishes nei,,,17023046XX,NXJ,Percoidei,Carangidae,Selene,spp
Carcharhinus sharks nei,"Blacktip shark, Carcharhinus nei",,10802010XX,CWZ,Carcharhiniformes,Carcharhinidae,carcharhinus,spp.
Cardinal fish,,,1701200103,OGT,Percoidei,Apogonidae,Apogon,imberbis
Caribbean spiny lobster,,,2290100108,SLC,Reptantia,Palinuridae,panulirus,argus
Carragheen (Irish) moss,,,7871600104,IMS,Rhodophyceae,Gigartinaceae,Chondrus,crispus
Carrot squat lobster,"Langostino colorado, Red squat lobster",,2301900102,PQG,Anomura,Galatheidae,pleuroncodes,monodon
Cassava croaker,,,1703745702,PSS,Percoidei,Sciaenidae,Pseudotolithus,senegalensis
Catla,,,1400203001,CTT,Cypriniformes,Cyprinidae,Gibelion,catla
Caulerpa seaweeds,,,74105001XX,CAU,Chlorophyceae,Caulerpaceae,Caulerpa,spp
,Centolla peruana,,2302012307,KLV,Anomura,Lithodidae,Paralomis,longipes
Centroscyllium dogfishes nei,,,10901019XX,YCX,Squaliformes,Squalidae,Centroscyllium,spp
,Centroscymnus dogfishes nei,,10901016XX,CZI,Squaliformes,Squalidae,Centroscymnus,spp
Cero,,,1750101508,CER,Scombroidei,Scombridae,Scomberomorus,regalis
Chaceon geryons nei,,,23143001XX,GER,Brachyura,Geryonidae,Chaceon,spp
,"Chain pickerel, pickerel,",,"",FS-252,Esociformes ,Esocidae ,Esox,niger
Chalk weed,,,7870900501,FMK,Rhodophyceae,Corallinaceae,Phymatolithon,calcareum
Chamber venus,,,3161100802,KFA,Bivalvia,Veneridae,Circomphalus,casinus
Changeable nassa,,,3073300201,NSQ,Gastropoda,Nassariidae,Nassarius,mutabilis
Changos octopus,"Pulpo del norte, Pulpo burlón",,3210900528,QDM,"",Octopodidae,Octopus,mimus
Channel bull blenny,,,1709100301,BVG,Percoidei,Bovichtidae,Cottoperca,gobio
Channel catfish,,,1411000202,ITP,Siluriformes,Ictaluridae,Ictalurus,punctatus
Channel flounder,,,1830805403,YAM,Pleuronectiformes,Paralichthyidae,Syacium,micrurum
Channel-clinging crab,,,2312100101,MXI,Brachyura,Majidae,Mithrax,spinosissimus
,Chanquettes nep,,17321226XX,IXC,Gobioidei,Gobiidae,Sicydium,spp
Chilean devil ray,,,1100801011,RMT,Rajiformes,Mobulidae,Mobula,tarapacana
Chilean jack mackerel,,,1702300405,CJM,Percoidei,Carangidae,trachurus,murphyi
Chilean jagged lobster,,,2290100501,PJH,Reptantia,Palinuridae,Projasus,bahamondei
Chilean mussel,Chorito,,3161000103,MYC,Bivalvia,Mytilidae,mytilus,chilensis
Chilean nylon shrimp,,,2280400501,CHS,Natantia,Pandalidae,heterocarpus,reedi
Chilean sea urchin,,,6930401701,UCH,Camarodonta,Parechinidae,Loxechinus,albus
Chilean silverside,"Silverside, Sea silverside, Pejerrey ",,1630200201,ODR,Atheriniformes,Atherinidae,odontesthes,regia
Chilipepper rockfish,,,1780100116,SGO,Scorpaeniformes,Scorpaenidae,sebastes,goodei
Chinaman-leatherjacket,Ocean Jacket,,1900901401,NLY,Tetraodontiformes,Monacanthidae,Nelusetta,ayraudi
Chinese icefish,"short-snout icefish, noodlefish",,1230900102,XHK,Salmoniformes,Salangidae,neosalanx,tangkahkeii
Chinese mitten crab,,,2311302803,ERS,Brachyura,Grapsidae,Eriocheir,sinensis
Chinese silver pomfret,,,1760300902,CPO,"Stromateoidei, Anabantoidei",Stromateidae,pampus,chinensis
Chinook salmon,King Salmon,,1230100907,CHI,Salmoniformes,Salmonidae,Oncorhynchus,tshawytscha
Chocolate hind,,,1700211519,CVK,Percoidei,Serranidae,Cephalopholis,boenak
Choicy ruff,,,1760801001,SEO,"Stromateoidei, Anabantoidei",Centrolophidae,Seriolella,porosa
